,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,4,1.03 (0.46),0.44 (0.26),4,3.36 (1.8),69.47 (50.19),1.16 (0.91),1.04 (0.44),0.44
3,4,9,3.46 (2.51),0.68 (0.2),9,5.77 (4.48),51.93 (31.78),2.54 (4.6),0.63 (0.26),0.14
4,5,65,3.86 (3.93),0.7 (0.46),65,7.43 (6.91),63.48 (25.81),3.54 (7.12),0.67 (0.4),0.44
5,6,149,4.95 (4.45),0.81 (0.61),149,7.79 (6.73),63.79 (29.33),4.3 (11.75),0.72 (0.47),0.91
6,7,164,6.45 (6.13),0.9 (0.49),164,9.13 (8.56),59.01 (28.76),3.63 (8.99),0.71 (0.38),1.3
7,8,126,7.26 (6.7),1.37 (0.57),126,7.03 (8.4),50.4 (24.77),3.72 (8.97),0.83 (0.41),2.47
8,9,51,9.41 (8.63),2.15 (0.63),51,5.42 (6.94),43.33 (25.74),4.9 (18.74),0.96 (0.3),3.64
9,10,14,12.6 (11.28),2.55 (0.8),14,6.22 (7.3),48.41 (29.26),2.26 (3.58),0.9 (0.24),1.08
10,11,13,10.14 (10.26),4.68 (2.42),11,3.11 (3.65),27.39 (23.58),15.26 (42.9),1.16 (0.67),
11,,595,6.36 (6.48),1.18 (0.96),593,7.56 (7.71),56.65 (28.81),4.07 (12.14),0.77 (0.42),0.95
