,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,2,0.78 (0.51),0.58 (0.31),2,2.56 (2.26),76.32 (66.41),1.76 (0.96),1.28 (0.17),
3,4,1,0.2 (0.0),0.95 (0.0),1,0.21 (0.0),72.98 (0.0),0.01 (0.0),1.03 (0.0),
4,5,24,3.31 (4.51),0.85 (0.57),24,5.66 (6.85),55.5 (29.91),3.95 (7.08),0.91 (0.49),
5,6,62,3.52 (3.26),0.96 (0.83),62,4.95 (4.34),57.96 (29.38),3.54 (12.17),0.94 (0.6),
6,7,69,5.11 (4.33),1.1 (0.47),69,6.07 (5.95),52.37 (31.84),3.18 (7.4),0.88 (0.34),
7,8,86,6.37 (6.61),1.47 (0.51),86,5.15 (5.71),44.5 (23.82),3.57 (8.88),0.95 (0.42),
8,9,35,7.15 (5.53),2.18 (0.54),35,3.71 (3.55),38.37 (23.63),1.72 (4.81),1.05 (0.23),
9,10,9,11.22 (11.18),2.68 (0.88),9,5.88 (8.25),53.62 (32.16),1.39 (1.39),0.98 (0.21),
10,11,9,5.41 (5.18),5.45 (2.55),9,1.3 (1.63),23.05 (23.72),18.32 (46.88),1.18 (0.73),
11,,297,5.39 (5.66),1.46 (1.12),297,5.06 (5.49),49.24 (29.43),3.64 (12.13),0.95 (0.45),0
