,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,,,,,,,,,
2,3,2,1.27 (0.21),0.3 (0.03),2,4.16 (0.27),62.63 (23.12),0.56 (0.07),0.8 (0.48),
3,4,8,3.87 (2.37),0.64 (0.19),8,6.47 (4.28),49.3 (32.77),2.86 (4.78),0.58 (0.23),
4,5,41,4.18 (3.51),0.61 (0.35),41,8.47 (6.73),68.15 (21.75),3.3 (7.13),0.54 (0.25),
5,6,87,5.96 (4.89),0.7 (0.36),87,9.81 (7.37),67.95 (28.57),4.85 (11.42),0.56 (0.24),
6,7,95,7.42 (7.0),0.76 (0.45),95,11.35 (9.44),63.82 (25.21),3.96 (9.97),0.59 (0.36),
7,8,40,9.16 (6.51),1.16 (0.62),40,11.09 (11.33),63.06 (21.84),4.05 (9.15),0.58 (0.23),
8,9,16,14.36 (11.6),2.07 (0.78),16,9.15 (10.27),54.19 (26.8),11.86 (31.6),0.75 (0.35),
9,10,5,15.07 (11.04),2.33 (0.56),5,6.84 (5.1),39.03 (19.96),3.81 (5.35),0.75 (0.22),
10,11,2,12.74 (5.84),3.04 (0.29),2,4.42 (2.34),46.93 (7.7),1.52 (1.18),1.04 (0.22),
11,,296,7.18 (6.84),0.88 (0.63),296,10.04 (8.77),64.08 (26.14),4.5 (12.13),0.59 (0.3),0
