,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,13720,0.64 (0.37),0.07 (0.0),13720,8.79 (5.03),48.11 (33.84),0.92 (0.41),0.7 (0.01),
1,2,13781,0.75 (0.38),0.1 (0.0),13781,7.18 (3.66),41.46 (28.43),0.84 (0.38),0.88 (0.15),
2,3,5259,1.05 (0.42),0.15 (0.01),5259,7.06 (2.84),38.81 (23.42),0.88 (0.36),0.87 (0.15),
3,4,2004,1.38 (0.71),0.21 (0.03),2004,6.45 (2.44),42.82 (22.28),0.91 (0.77),0.84 (0.17),
4,5,788,1.75 (0.67),0.32 (0.15),788,5.68 (2.13),46.55 (23.74),0.91 (0.99),0.83 (0.21),
5,6,324,2.4 (1.27),0.52 (0.37),324,5.04 (2.21),53.35 (25.04),1.4 (5.6),0.84 (0.41),
6,7,126,4.39 (4.56),0.95 (0.53),126,5.52 (5.4),60.15 (29.03),1.67 (4.37),0.91 (0.35),
7,8,64,5.58 (5.01),1.31 (0.38),64,4.77 (4.46),43.67 (23.57),2.63 (6.5),0.99 (0.46),
8,9,42,8.19 (7.09),1.98 (0.59),42,4.91 (5.07),40.0 (23.74),3.86 (11.18),1.0 (0.28),
9,10,19,8.27 (8.74),2.62 (0.6),19,3.91 (6.1),39.73 (29.22),2.66 (6.41),1.04 (0.2),
10,11,10,5.27 (4.93),5.09 (2.65),10,1.38 (1.56),22.62 (22.54),16.71 (44.74),1.15 (0.7),
11,,36137,0.86 (0.82),0.12 (0.17),36137,7.67 (4.18),43.95 (29.81),0.9 (1.2),0.81 (0.15),0
