,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,1,1.29 (0.0),0.27 (0.0),1,4.82 (0.0),9.9 (0.0),0.79 (0.0),1.45 (0.0),
1,2,,,,,,,,,
2,3,1,0.27 (0.0),0.89 (0.0),1,0.31 (0.0),142.73 (0.0),2.72 (0.0),1.11 (0.0),
3,4,5,6.1 (8.79),0.76 (0.29),5,9.3 (11.62),66.8 (29.96),6.5 (11.48),0.78 (0.27),
4,5,20,2.17 (1.77),1.02 (0.63),20,3.7 (4.47),60.52 (27.61),2.73 (5.14),1.01 (0.49),
5,6,59,3.31 (2.38),0.91 (0.75),59,4.96 (3.95),53.47 (28.34),4.46 (12.65),0.87 (0.61),
6,7,80,5.41 (5.42),1.14 (0.58),80,6.26 (6.57),56.37 (30.93),2.28 (5.38),0.9 (0.34),
7,8,61,5.67 (5.1),1.33 (0.38),61,4.81 (4.55),43.63 (23.93),2.73 (6.64),0.98 (0.47),
8,9,41,8.3 (7.14),2.0 (0.59),41,4.97 (5.12),39.54 (23.85),3.95 (11.3),0.99 (0.27),
9,10,19,8.27 (8.74),2.62 (0.6),19,3.91 (6.1),39.73 (29.22),2.66 (6.41),1.04 (0.2),
10,11,10,5.27 (4.93),5.09 (2.65),10,1.38 (1.56),22.62 (22.54),16.71 (44.74),1.15 (0.7),
11,,297,5.39 (5.66),1.46 (1.12),297,5.06 (5.49),49.24 (29.43),3.64 (12.13),0.95 (0.45),0
