,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,22419,0.73 (0.41),0.07 (0.0),22419,9.98 (5.68),49.58 (33.18),0.95 (0.41),0.69 (0.04),
1,2,8137,0.92 (0.42),0.1 (0.0),8137,8.84 (4.06),45.11 (26.92),0.89 (0.4),0.7 (0.02),
2,3,3247,1.19 (0.44),0.15 (0.01),3247,7.99 (2.93),44.21 (23.4),0.9 (0.42),0.7 (0.03),
3,4,1332,1.52 (0.56),0.21 (0.03),1332,7.1 (2.54),46.23 (22.71),0.91 (0.67),0.69 (0.08),
4,5,571,2.05 (1.17),0.33 (0.12),571,6.41 (2.9),50.44 (24.26),1.08 (2.72),0.66 (0.16),
5,6,241,3.07 (2.15),0.5 (0.22),241,6.49 (4.37),61.01 (26.88),1.6 (5.14),0.68 (0.38),
6,7,122,7.54 (6.36),0.8 (0.52),122,11.34 (9.17),62.6 (26.08),4.26 (11.4),0.61 (0.27),
7,8,43,10.4 (9.37),1.13 (0.54),43,11.04 (10.69),57.3 (19.88),3.59 (5.34),0.69 (0.35),
8,9,18,12.37 (8.76),1.74 (0.6),18,8.56 (8.59),57.17 (24.82),10.44 (29.95),0.65 (0.29),
9,10,3,17.41 (8.55),2.33 (0.47),3,7.29 (2.83),42.17 (12.02),2.31 (0.3),0.73 (0.12),
10,11,4,8.77 (6.1),2.88 (0.46),4,3.01 (2.24),33.66 (15.81),0.87 (1.05),0.96 (0.23),
11,,36137,0.92 (0.98),0.1 (0.1),36137,9.36 (5.13),48.11 (30.63),0.96 (1.22),0.69 (0.06),0
