,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,1,1.48 (0.0),0.33 (0.0),1,4.43 (0.0),39.51 (0.0),0.62 (0.0),1.29 (0.0),
2,3,2,1.26 (0.2),0.5 (0.23),2,2.96 (0.94),66.95 (18.8),1.12 (0.63),0.42 (0.1),
3,4,6,2.74 (1.8),0.58 (0.3),6,5.77 (3.55),47.15 (28.21),3.27 (5.46),0.58 (0.29),
4,5,42,3.94 (2.98),0.59 (0.35),42,8.59 (6.83),71.92 (23.55),4.23 (9.41),0.5 (0.25),
5,6,75,4.32 (3.25),0.63 (0.36),75,8.24 (6.99),69.7 (27.14),3.63 (8.86),0.56 (0.32),
6,7,103,8.36 (6.58),0.84 (0.56),103,12.52 (9.5),63.48 (26.9),4.93 (12.29),0.57 (0.26),
7,8,42,10.56 (9.42),1.14 (0.55),42,11.21 (10.76),57.96 (19.64),3.65 (5.39),0.69 (0.36),
8,9,18,12.37 (8.76),1.74 (0.6),18,8.56 (8.59),57.17 (24.82),10.44 (29.95),0.65 (0.29),
9,10,3,17.41 (8.55),2.33 (0.47),3,7.29 (2.83),42.17 (12.02),2.31 (0.3),0.73 (0.12),
10,11,4,8.77 (6.1),2.88 (0.46),4,3.01 (2.24),33.66 (15.81),0.87 (1.05),0.96 (0.23),
11,,296,7.18 (6.84),0.88 (0.63),296,10.04 (8.77),64.08 (26.14),4.5 (12.13),0.59 (0.3),0
