,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,29264,0.71 (0.44),0.07 (0.0),29264,9.77 (5.96),50.2 (33.32),0.95 (0.41),0.7 (0.03),1.66
1,2,17601,0.83 (0.45),0.1 (0.0),17601,7.95 (4.27),43.55 (27.92),0.86 (0.39),0.81 (0.15),2.53
2,3,6967,1.13 (0.5),0.15 (0.0),6967,7.6 (3.38),39.83 (23.68),0.86 (0.36),0.81 (0.14),2.54
3,4,2743,1.5 (0.59),0.21 (0.0),2743,7.08 (2.81),39.53 (21.83),0.86 (0.31),0.79 (0.14),2.44
4,5,1126,1.97 (0.75),0.3 (0.0),1126,6.52 (2.49),38.35 (20.02),0.84 (0.31),0.78 (0.14),2.39
5,6,471,2.66 (1.04),0.43 (0.0),471,6.2 (2.41),39.75 (19.75),0.85 (0.53),0.76 (0.17),2.63
6,7,179,3.49 (1.1),0.61 (0.0),179,5.7 (1.8),45.76 (21.36),0.91 (0.75),0.69 (0.21),3.44
7,8,52,4.12 (1.09),0.87 (0.0),52,4.72 (1.25),60.12 (22.9),0.74 (0.67),0.64 (0.19),13.0
8,9,4,4.24 (0.11),1.24 (0.0),4,3.4 (0.09),64.26 (25.34),0.23 (0.21),0.67 (0.01),
9,,58407,0.89 (0.59),0.11 (0.07),58407,8.73 (5.14),46.14 (30.2),0.9 (0.4),0.75 (0.12),3.4
