,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,29264,0.71 (0.44),0.07 (0.0),29264,9.77 (5.96),50.2 (33.32),0.95 (0.41),0.7 (0.03),1.66
1,2,17601,0.83 (0.45),0.1 (0.0),17601,7.95 (4.27),43.55 (27.92),0.86 (0.39),0.81 (0.15),2.53
2,3,6968,1.13 (0.5),0.15 (0.02),6968,7.6 (3.38),39.83 (23.69),0.86 (0.36),0.81 (0.14),2.54
3,4,2743,1.5 (0.59),0.21 (0.0),2743,7.08 (2.81),39.53 (21.83),0.86 (0.31),0.79 (0.14),2.43
4,5,1127,1.97 (0.75),0.3 (0.03),1127,6.51 (2.49),38.4 (20.08),0.84 (0.31),0.78 (0.14),2.38
5,6,474,2.69 (1.23),0.44 (0.1),474,6.18 (2.42),40.13 (20.45),0.85 (0.55),0.77 (0.17),2.44
6,7,194,4.2 (4.26),0.69 (0.29),194,5.85 (2.63),46.74 (23.45),1.04 (1.32),0.7 (0.21),2.28
7,8,85,6.42 (6.16),1.18 (0.45),85,5.21 (3.49),58.58 (24.61),0.97 (1.26),0.69 (0.22),2.18
8,9,39,14.45 (11.49),1.89 (0.51),39,7.56 (6.04),53.16 (29.67),1.43 (1.83),0.8 (0.22),1.56
9,10,25,18.17 (12.27),2.81 (0.71),25,7.11 (5.47),47.23 (21.37),1.95 (1.97),0.92 (0.18),6.25
10,11,4,19.24 (7.32),3.23 (0.24),3,6.01 (2.47),30.44 (11.44),2.01 (1.32),0.94 (0.13),2.0
11,12,2,10.4 (2.39),3.6 (0.0),1,2.89 (0.66),70.29 (0.0),0.63 (0.0),1.0 (0.0),
12,,58526,0.91 (0.97),0.11 (0.11),58524,8.72 (5.14),46.16 (30.2),0.9 (0.41),0.75 (0.12),2.35
