,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,11161,0.65 (0.4),0.07 (0.0),11161,8.95 (5.43),49.45 (33.81),0.91 (0.41),0.7 (0.0),
1,2,10947,0.76 (0.41),0.1 (0.0),10947,7.33 (3.96),42.0 (28.23),0.85 (0.38),0.88 (0.15),
2,3,4356,1.07 (0.48),0.15 (0.0),4356,7.2 (3.23),38.43 (24.1),0.86 (0.37),0.87 (0.15),
3,4,1654,1.45 (0.57),0.21 (0.0),1654,6.86 (2.71),38.21 (21.83),0.87 (0.32),0.85 (0.15),
4,5,663,1.9 (0.75),0.3 (0.0),663,6.31 (2.48),37.17 (19.74),0.86 (0.33),0.84 (0.16),
5,6,280,2.48 (0.95),0.43 (0.0),280,5.77 (2.2),38.03 (18.82),0.83 (0.42),0.83 (0.17),
6,7,107,3.49 (1.09),0.61 (0.0),107,5.7 (1.79),45.48 (22.43),0.91 (0.77),0.74 (0.23),
7,8,32,4.17 (1.19),0.87 (0.0),32,4.78 (1.36),59.55 (24.2),0.78 (0.69),0.68 (0.21),
8,9,3,4.27 (0.1),1.24 (0.0),3,3.43 (0.08),57.67 (26.13),0.28 (0.23),0.67 (0.01),
9,,29203,0.86 (0.58),0.12 (0.07),29203,7.85 (4.49),43.99 (29.75),0.88 (0.39),0.81 (0.14),0
