,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,11161,0.65 (0.4),0.07 (0.0),11161,8.95 (5.43),49.45 (33.81),0.91 (0.41),0.7 (0.0),
1,2,10947,0.76 (0.41),0.1 (0.0),10947,7.33 (3.96),42.0 (28.23),0.85 (0.38),0.88 (0.15),
2,3,4357,1.07 (0.48),0.15 (0.03),4357,7.2 (3.23),38.44 (24.11),0.86 (0.37),0.87 (0.15),
3,4,1654,1.45 (0.57),0.21 (0.0),1654,6.86 (2.71),38.21 (21.83),0.87 (0.32),0.85 (0.15),
4,5,663,1.9 (0.75),0.3 (0.0),663,6.31 (2.48),37.17 (19.74),0.86 (0.33),0.84 (0.16),
5,6,282,2.48 (0.95),0.44 (0.09),282,5.74 (2.22),38.64 (20.1),0.82 (0.42),0.83 (0.17),
6,7,112,4.03 (3.23),0.67 (0.27),112,5.82 (2.07),45.73 (22.81),0.99 (0.98),0.75 (0.23),
7,8,44,6.19 (4.89),1.11 (0.44),44,5.35 (2.69),52.82 (24.73),0.91 (0.77),0.75 (0.23),
8,9,20,15.84 (11.35),2.07 (0.54),20,7.92 (6.07),44.65 (24.33),1.69 (2.14),0.9 (0.2),
9,10,19,16.31 (10.93),2.81 (0.65),19,6.4 (5.17),49.04 (21.15),2.05 (2.16),0.92 (0.18),
10,11,2,23.07 (7.78),3.36 (0.28),2,7.11 (2.9),25.36 (10.91),2.32 (1.53),0.99 (0.14),
11,12,1,8.01 (0.0),3.6 (0.0),1,2.23 (0.0),70.29 (0.0),0.63 (0.0),1.0 (0.0),
12,,29262,0.89 (0.98),0.12 (0.12),29262,7.85 (4.49),43.99 (29.75),0.88 (0.4),0.81 (0.14),0
