,parent,parent_diameter,major_branch,major_diameter,minor_branch,minor_diameter
0,1.0,3.6,208.0,3.6,40.0,3.1664717948717946
1,40.0,3.1664717948717946,125.0,2.328656279069768,82.0,1.7445657142857143
2,82.0,1.7445657142857143,17744.0,0.87306,17745.0,0.87306
3,125.0,2.328656279069768,128.0,2.698,160.0,2.666582608695652
4,128.0,2.698,136.0,1.6749500000000002,137.0,1.2
5,136.0,1.6749500000000002,27894.0,0.61268,27895.0,0.61268
6,137.0,1.2,20828.0,0.87306,20829.0,0.87306
7,160.0,2.666582608695652,174.0,2.5675285714285714,207.0,1.2
8,174.0,2.5675285714285714,206.0,1.9679512500000005,190.0,1.9193712500000004
9,190.0,1.9193712500000004,48338.0,0.61268,48339.0,0.61268
10,206.0,1.9679512500000005,49120.0,0.61268,49121.0,0.61268
11,207.0,1.2,33580.0,0.61268,33581.0,0.61268
12,208.0,3.6,530.0,3.079518918918919,209.0,3.0
13,209.0,3.0,240.0,2.9839432258064527,409.0,2.321795
14,240.0,2.9839432258064527,245.0,2.6149999999999998,373.0,1.2
15,245.0,2.6149999999999998,283.0,2.3938968421052644,305.0,1.9554111111111112
16,283.0,2.3938968421052644,296.0,1.6678709090909094,285.0,1.65522
17,285.0,1.65522,13270.0,0.87306,13271.0,0.87306
18,296.0,1.6678709090909094,22240.0,0.87306,22241.0,0.87306
19,305.0,1.9554111111111112,360.0,1.899859636363636,372.0,1.80124
20,360.0,1.899859636363636,30240.0,0.87306,30241.0,0.87306
21,372.0,1.80124,5679.0,0.61268,5678.0,0.42994
22,373.0,1.2,1426.0,0.87306,1427.0,0.87306
23,409.0,2.321795,430.0,2.5576095238095236,489.0,2.4331249999999995
24,430.0,2.5576095238095236,463.0,2.2594218181818175,472.0,2.0741155555555553
25,463.0,2.2594218181818175,25986.0,0.87306,25987.0,0.87306
26,472.0,2.0741155555555553,481.0,1.6432200000000001,474.0,1.60486
27,474.0,1.60486,6906.0,0.87306,6907.0,0.87306
28,481.0,1.6432200000000001,12367.0,0.87306,12366.0,0.61268
29,489.0,2.4331249999999995,492.0,2.3562,493.0,2.3562
30,492.0,2.3562,4248.0,0.61268,4249.0,0.61268
31,493.0,2.3562,3727.0,0.61268,3726.0,0.42994
32,530.0,3.079518918918919,536.0,3.310833333333333,754.0,2.3799825
33,536.0,3.310833333333333,669.0,2.37662,562.0,2.1321138461538456
34,562.0,2.1321138461538456,568.0,2.0042733333333334,652.0,1.2
35,568.0,2.0042733333333334,607.0,2.662801052631579,588.0,2.0791449999999996
36,588.0,2.0791449999999996,30134.0,0.30172,30135.0,0.30172
37,607.0,2.662801052631579,635.0,3.4679,619.0,2.295295
38,619.0,2.295295,625.0,2.014963333333333,631.0,1.7152399999999999
39,625.0,2.014963333333333,37390.0,0.42994,37391.0,0.42994
40,631.0,1.7152399999999999,37716.0,0.61268,37717.0,0.61268
41,635.0,3.4679,651.0,2.1556,645.0,1.466846
42,645.0,1.466846,35598.0,0.42994,35599.0,0.42994
43,651.0,2.1556,32288.0,0.87306,32289.0,0.87306
44,652.0,1.2,8522.0,0.87306,8523.0,0.61268
45,669.0,2.37662,680.0,2.3077636363636365,722.0,1.5827723076923073
46,680.0,2.3077636363636365,703.0,1.890775652173913,709.0,1.7370733333333332
47,703.0,1.890775652173913,28808.0,0.87306,28809.0,0.87306
48,709.0,1.7370733333333332,15240.0,0.61268,15241.0,0.61268
49,722.0,1.5827723076923073,10592.0,0.87306,10593.0,0.87306
50,754.0,2.3799825,792.0,2.3947021052631583,825.0,1.2
51,792.0,2.3947021052631583,818.0,1.8864061538461543,824.0,1.812026666666667
52,818.0,1.8864061538461543,44178.0,1.2441,44179.0,1.2441
53,824.0,1.812026666666667,38475.0,1.2441,38474.0,0.87306
54,825.0,1.2,9540.0,0.61268,9541.0,0.61268
55,832.0,3.2210571428571426,860.0,3.631357142857142,1345.0,1.9741053061224496
56,860.0,3.631357142857142,863.0,4.6441333333333334,1113.0,4.596500000000001
57,863.0,4.6441333333333334,882.0,3.407684210526316,1105.0,1.2
58,882.0,3.407684210526316,923.0,3.4037363636363636,894.0,1.7577316666666671
59,894.0,1.7577316666666671,896.0,1.49762,901.0,1.2
60,896.0,1.49762,900.0,1.4976200000000002,897.0,1.49762
61,897.0,1.49762,8230.0,0.42994,8231.0,0.42994
62,900.0,1.4976200000000002,10212.0,0.42994,10213.0,0.42994
63,901.0,1.2,6336.0,0.42994,6337.0,0.42994
64,923.0,3.4037363636363636,925.0,2.637,1104.0,1.2
65,925.0,2.637,935.0,2.222098,1103.0,1.2
66,935.0,2.222098,959.0,2.9824916666666668,1101.0,1.2
67,959.0,2.9824916666666668,997.0,2.3059830769230767,979.0,2.113973
68,979.0,2.113973,981.0,1.94412,984.0,1.2
69,981.0,1.94412,982.0,1.94412,983.0,1.94412
70,982.0,1.94412,50021.0,0.61268,50020.0,0.42994
71,983.0,1.94412,50404.0,0.61268,50405.0,0.61268
72,984.0,1.2,47446.0,0.61268,47447.0,0.61268
73,997.0,2.3059830769230767,1006.0,2.3120199999999995,1100.0,1.2
74,1006.0,2.3120199999999995,1093.0,2.2038,1009.0,1.9159266666666668
75,1009.0,1.9159266666666668,1092.0,1.8810430769230773,1036.0,1.7695948148148148
76,1036.0,1.7695948148148148,1053.0,1.9777,1039.0,1.8201999999999998
77,1039.0,1.8201999999999998,1051.0,1.73162,1049.0,1.5821159999999999
78,1049.0,1.5821159999999999,57172.0,0.61268,57173.0,0.61268
79,1051.0,1.73162,55696.0,0.42994,55697.0,0.42994
80,1053.0,1.9777,54902.0,0.87306,54903.0,0.61268
81,1092.0,1.8810430769230773,56011.0,1.2441,56010.0,0.073172
82,1093.0,2.2038,1098.0,2.2038,1099.0,1.2
83,1098.0,2.2038,52049.0,0.61268,52048.0,0.42994
84,1099.0,1.2,51244.0,0.61268,51245.0,0.61268
85,1100.0,1.2,43752.0,0.42994,43753.0,0.42994
86,1101.0,1.2,23946.0,0.87306,23947.0,0.87306
87,1103.0,1.2,19284.0,0.61268,19285.0,0.42994
88,1104.0,1.2,16038.0,0.61268,16039.0,0.61268
89,1105.0,1.2,2635.0,0.87306,2634.0,0.073172
90,1113.0,4.596500000000001,1142.0,3.821889655172413,1296.0,1.2
91,1142.0,3.821889655172413,1170.0,2.7413842857142856,1295.0,2.182184615384615
92,1170.0,2.7413842857142856,1182.0,2.5326333333333335,1244.0,2.489855319148936
93,1182.0,2.5326333333333335,1191.0,2.18782,1197.0,1.2
94,1191.0,2.18782,1193.0,1.5797,1196.0,1.5797
95,1193.0,1.5797,41386.0,0.87306,41387.0,0.87306
96,1196.0,1.5797,42852.0,0.61268,42853.0,0.61268
97,1197.0,1.2,36082.0,0.61268,36083.0,0.61268
98,1244.0,2.489855319148936,1281.0,1.8140713513513511,1282.0,1.2
99,1281.0,1.8140713513513511,57658.0,0.87306,57659.0,0.87306
100,1282.0,1.2,52532.0,0.87306,52533.0,0.87306
101,1295.0,2.182184615384615,19698.0,0.87306,19699.0,0.61268
102,1296.0,1.2,3616.0,0.30172,3617.0,0.21174
103,1345.0,1.9741053061224496,1350.0,2.098236,1425.0,1.89294
104,1350.0,2.098236,1424.0,1.87676,1351.0,1.61232
105,1351.0,1.61232,1357.0,1.65234,1364.0,1.5815314285714288
106,1357.0,1.65234,6220.0,0.30172,6221.0,0.30172
107,1364.0,1.5815314285714288,1381.0,1.7259341176470588,1423.0,1.5978999999999999
108,1381.0,1.7259341176470588,1412.0,1.4133,1384.0,1.2736133333333333
109,1384.0,1.2736133333333333,1404.0,1.5701889999999998,1411.0,1.2
110,1404.0,1.5701889999999998,1410.0,1.60454,1409.0,1.448528
111,1409.0,1.448528,36858.0,0.61268,36859.0,0.42994
112,1410.0,1.60454,34646.0,0.61268,34647.0,0.61268
113,1411.0,1.2,23597.0,0.61268,23596.0,0.42994
114,1412.0,1.4133,20676.0,0.30172,20677.0,0.30172
115,1423.0,1.5978999999999999,17015.0,0.87306,17014.0,0.42994
116,1424.0,1.87676,6205.0,0.148582,6204.0,0.104268
117,1425.0,1.89294,4943.0,0.61268,4942.0,0.42994
118,1426.0,0.87306,1428.0,0.61268,1429.0,0.61268
119,1427.0,0.87306,1430.0,0.61268,1431.0,0.61268
120,1428.0,0.61268,1432.0,0.42994,1433.0,0.42994
121,1429.0,0.61268,1434.0,0.42994,1435.0,0.42994
122,1430.0,0.61268,1436.0,0.42994,1437.0,0.42994
123,1431.0,0.61268,1438.0,0.42994,1439.0,0.42994
124,1432.0,0.42994,1440.0,0.30172,1441.0,0.30172
125,1433.0,0.42994,1442.0,0.30172,1443.0,0.30172
126,1434.0,0.42994,1444.0,0.30172,1445.0,0.30172
127,1435.0,0.42994,1447.0,0.42994,1446.0,0.30172
128,1436.0,0.42994,1448.0,0.30172,1449.0,0.30172
129,1437.0,0.42994,1450.0,0.30172,1451.0,0.30172
130,1438.0,0.42994,1453.0,0.42994,1452.0,0.30172
131,1439.0,0.42994,1454.0,0.30172,1455.0,0.30172
132,1440.0,0.30172,1456.0,0.30172,1457.0,0.148582
133,1441.0,0.30172,1458.0,0.21174,1459.0,0.21174
134,1442.0,0.30172,1460.0,0.30172,1461.0,0.21174
135,1443.0,0.30172,1462.0,0.21174,1463.0,0.21174
136,1444.0,0.30172,1465.0,0.30172,1464.0,0.073172
137,1445.0,0.30172,1466.0,0.30172,1467.0,0.21174
138,1446.0,0.30172,1468.0,0.21174,1469.0,0.21174
139,1447.0,0.42994,1470.0,0.30172,1471.0,0.30172
140,1448.0,0.30172,1472.0,0.21174,1473.0,0.21174
141,1449.0,0.30172,1475.0,0.30172,1474.0,0.21174
142,1450.0,0.30172,1477.0,0.30172,1476.0,0.21174
143,1451.0,0.30172,1478.0,0.21174,1479.0,0.21174
144,1452.0,0.30172,1481.0,0.30172,1480.0,0.073172
145,1453.0,0.42994,1483.0,0.42994,1482.0,0.30172
146,1454.0,0.30172,1484.0,0.21174,1485.0,0.21174
147,1455.0,0.30172,1486.0,0.21174,1487.0,0.21174
148,1456.0,0.30172,1488.0,0.21174,1489.0,0.21174
149,1457.0,0.148582,1490.0,0.148582,1491.0,0.073172
150,1458.0,0.21174,1492.0,0.148582,1493.0,0.148582
151,1459.0,0.21174,1494.0,0.21174,1495.0,0.148582
152,1460.0,0.30172,1496.0,0.21174,1497.0,0.21174
153,1461.0,0.21174,1498.0,0.21174,1499.0,0.073172
