,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,18103,0.75 (0.45),0.07 (0.0),18103,10.27 (6.2),50.66 (33.0),0.97 (0.41),0.7 (0.04),
1,2,6654,0.94 (0.48),0.1 (0.0),6654,8.99 (4.56),46.1 (27.22),0.88 (0.39),0.7 (0.03),
2,3,2611,1.23 (0.52),0.15 (0.0),2611,8.27 (3.52),42.17 (22.78),0.87 (0.34),0.7 (0.02),
3,4,1089,1.57 (0.62),0.21 (0.0),1089,7.4 (2.93),41.55 (21.67),0.84 (0.31),0.7 (0.02),
4,5,463,2.06 (0.74),0.3 (0.0),463,6.82 (2.47),40.03 (20.3),0.82 (0.27),0.7 (0.04),
5,6,191,2.94 (1.1),0.43 (0.0),191,6.83 (2.56),42.26 (20.79),0.88 (0.65),0.67 (0.12),
6,7,72,3.5 (1.11),0.61 (0.0),72,5.71 (1.81),46.19 (19.65),0.91 (0.73),0.62 (0.14),
7,8,20,4.05 (0.92),0.87 (0.0),20,4.64 (1.06),61.03 (20.62),0.69 (0.63),0.58 (0.12),
8,9,1,4.13 (0.0),1.24 (0.0),1,3.32 (0.0),84.03 (0.0),0.1 (0.0),0.66 (0.0),
9,,29204,0.91 (0.59),0.1 (0.06),29204,9.6 (5.58),48.3 (30.49),0.93 (0.4),0.7 (0.04),0
