,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,18103,0.75 (0.45),0.07 (0.0),18103,10.27 (6.2),50.66 (33.0),0.97 (0.41),0.7 (0.04),
1,2,6654,0.94 (0.48),0.1 (0.0),6654,8.99 (4.56),46.1 (27.22),0.88 (0.39),0.7 (0.03),
2,3,2611,1.23 (0.52),0.15 (0.0),2611,8.27 (3.52),42.17 (22.78),0.87 (0.34),0.7 (0.02),
3,4,1089,1.57 (0.62),0.21 (0.0),1089,7.4 (2.93),41.55 (21.67),0.84 (0.31),0.7 (0.02),
4,5,464,2.06 (0.74),0.3 (0.04),464,6.81 (2.47),40.14 (20.43),0.82 (0.27),0.7 (0.05),
5,6,192,3.01 (1.51),0.44 (0.12),192,6.83 (2.55),42.32 (20.76),0.9 (0.7),0.67 (0.12),
6,7,82,4.43 (5.35),0.72 (0.33),82,5.88 (3.25),48.11 (24.23),1.09 (1.67),0.64 (0.16),
7,8,41,6.66 (7.27),1.24 (0.46),41,5.06 (4.18),64.77 (22.91),1.02 (1.62),0.63 (0.19),
8,9,19,12.99 (11.46),1.7 (0.39),19,7.18 (5.99),62.11 (32.06),1.16 (1.39),0.7 (0.18),
9,10,6,24.04 (14.28),2.81 (0.88),6,9.38 (5.75),41.51 (21.06),1.64 (1.14),0.9 (0.17),
10,11,1,11.25 (0.0),3.0 (0.0),1,3.75 (0.0),40.61 (0.0),1.4 (0.0),0.83 (0.0),
11,12,,,,,,,,,
12,,29262,0.93 (0.95),0.1 (0.1),29262,9.6 (5.58),48.32 (30.49),0.93 (0.42),0.7 (0.04),0
