,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,28698,0.79 (0.42),0.07 (0.0),28698,11.03 (5.88),51.07 (32.84),0.96 (0.42),0.67 (0.04),1.66
1,2,17278,0.91 (0.42),0.11 (0.0),17278,8.57 (3.98),45.02 (27.76),0.86 (0.39),0.79 (0.16),2.57
2,3,6727,1.23 (0.44),0.16 (0.0),6727,7.87 (2.83),40.73 (23.04),0.88 (0.33),0.78 (0.15),2.44
3,4,2755,1.58 (0.52),0.23 (0.0),2755,6.84 (2.24),41.59 (21.13),0.87 (0.31),0.78 (0.15),2.44
4,5,1129,2.04 (0.66),0.34 (0.0),1129,5.95 (1.93),40.33 (18.15),0.86 (0.29),0.77 (0.15),2.39
5,6,473,2.69 (0.87),0.51 (0.0),473,5.3 (1.71),40.02 (16.98),0.82 (0.42),0.77 (0.17),2.67
6,7,177,3.66 (0.95),0.75 (0.0),177,4.88 (1.27),49.02 (22.33),0.9 (0.67),0.69 (0.21),4.78
7,8,37,4.2 (1.14),1.11 (0.0),37,3.78 (1.03),65.24 (15.9),0.75 (0.92),0.72 (0.15),37.0
8,9,1,3.31 (0.0),1.64 (0.0),1,2.01 (0.0),81.62 (0.0),0.08 (0.0),0.87 (0.0),
9,,57275,0.97 (0.56),0.11 (0.08),57275,9.55 (5.09),47.27 (29.74),0.91 (0.4),0.73 (0.13),6.22
