,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,28698,0.79 (0.42),0.07 (0.0),28698,11.03 (5.88),51.07 (32.84),0.96 (0.42),0.67 (0.04),1.66
1,2,17279,0.91 (0.42),0.11 (0.01),17279,8.57 (3.98),45.02 (27.76),0.86 (0.39),0.79 (0.16),2.57
2,3,6727,1.23 (0.44),0.16 (0.0),6727,7.87 (2.83),40.73 (23.04),0.88 (0.33),0.78 (0.15),2.44
3,4,2755,1.58 (0.52),0.23 (0.0),2755,6.84 (2.24),41.59 (21.13),0.87 (0.31),0.78 (0.15),2.44
4,5,1130,2.05 (0.8),0.34 (0.05),1130,5.95 (1.93),40.34 (18.15),0.86 (0.31),0.77 (0.15),2.37
5,6,477,2.69 (0.87),0.52 (0.1),477,5.27 (1.73),40.6 (18.13),0.82 (0.42),0.77 (0.17),2.56
6,7,186,4.17 (3.82),0.79 (0.16),186,5.09 (2.32),49.34 (23.76),0.99 (1.21),0.69 (0.21),2.33
7,8,80,7.62 (7.43),1.42 (0.44),80,5.01 (3.88),61.89 (24.54),1.11 (1.51),0.75 (0.2),2.16
8,9,37,17.58 (12.27),2.05 (0.37),37,8.71 (6.57),47.37 (26.12),1.7 (2.09),0.86 (0.19),1.85
9,10,20,16.06 (11.34),2.99 (0.7),20,5.75 (4.36),46.55 (20.1),1.97 (1.86),0.93 (0.19),4.0
10,11,5,13.38 (3.89),3.41 (0.25),3,3.96 (1.25),49.06 (15.12),0.94 (0.34),0.99 (0.12),
11,,57394,0.99 (0.96),0.12 (0.12),57392,9.54 (5.1),47.29 (29.74),0.91 (0.41),0.73 (0.13),2.22
