,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,,,,,,,,,
1,2,1,0.43 (0.0),1.88 (0.0),1,0.23 (0.0),81.28 (0.0),0.06 (0.0),0.89 (0.0),
2,3,,,,,,,,,
3,4,,,,,,,,,
4,5,1,17.28 (0.0),2.08 (0.0),1,8.31 (0.0),54.41 (0.0),4.53 (0.0),1.04 (0.0),0.25
5,6,4,2.56 (0.77),1.57 (0.3),4,1.64 (0.44),109.95 (14.9),0.45 (0.2),0.75 (0.29),0.44
6,7,9,14.14 (13.41),1.47 (0.24),9,9.19 (7.86),55.6 (42.72),2.78 (4.23),0.79 (0.23),0.21
7,8,43,10.55 (9.11),1.68 (0.46),43,6.06 (4.97),59.01 (29.75),1.43 (1.82),0.77 (0.24),1.19
8,9,36,17.98 (12.2),2.06 (0.37),36,8.89 (6.56),46.42 (25.84),1.75 (2.1),0.86 (0.19),1.8
9,10,20,16.06 (11.34),2.99 (0.7),20,5.75 (4.36),46.55 (20.1),1.97 (1.86),0.93 (0.19),4.0
10,11,5,13.38 (3.89),3.41 (0.25),3,3.96 (1.25),49.06 (15.12),0.94 (0.34),0.99 (0.12),
11,,119,13.82 (11.26),2.07 (0.72),117,6.83 (5.8),54.38 (30.07),1.69 (2.2),0.83 (0.22),0.72
