,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,10926,0.73 (0.38),0.07 (0.0),10926,10.2 (5.36),49.85 (33.39),0.93 (0.41),0.68 (0.0),
1,2,10837,0.84 (0.4),0.11 (0.0),10837,7.97 (3.77),43.36 (27.86),0.85 (0.39),0.87 (0.16),
2,3,4114,1.18 (0.43),0.16 (0.0),4114,7.57 (2.77),38.58 (23.24),0.88 (0.33),0.85 (0.16),
3,4,1667,1.52 (0.49),0.23 (0.0),1667,6.56 (2.13),40.65 (21.27),0.88 (0.32),0.85 (0.16),
4,5,670,1.97 (0.65),0.34 (0.0),670,5.74 (1.89),39.46 (18.4),0.87 (0.29),0.84 (0.16),
5,6,291,2.54 (0.82),0.51 (0.0),291,5.02 (1.61),39.56 (17.16),0.82 (0.34),0.84 (0.18),
6,7,104,3.49 (0.87),0.75 (0.0),104,4.66 (1.15),47.5 (22.53),0.89 (0.66),0.76 (0.22),
7,8,27,4.37 (1.23),1.11 (0.0),27,3.94 (1.11),63.07 (15.88),0.85 (0.99),0.74 (0.16),
8,9,1,3.31 (0.0),1.64 (0.0),1,2.01 (0.0),81.62 (0.0),0.08 (0.0),0.87 (0.0),
9,,28637,0.94 (0.56),0.12 (0.08),28637,8.58 (4.44),44.89 (29.23),0.89 (0.39),0.79 (0.16),0
