,Strahler_order,number_of_branches,branch_length (sd),branch_diameter (sd),number_of_daughter_branches,length_to_diameter_ratio,branching_angle,length_ratio,diameter_ratio,branching_ratio
0,1,17772,0.82 (0.44),0.07 (0.0),17772,11.55 (6.12),51.82 (32.47),0.97 (0.42),0.67 (0.04),
1,2,6441,1.01 (0.43),0.11 (0.0),6441,9.6 (4.11),47.81 (27.37),0.87 (0.38),0.67 (0.03),
2,3,2613,1.31 (0.45),0.16 (0.0),2613,8.35 (2.86),44.12 (22.3),0.87 (0.33),0.67 (0.02),
3,4,1088,1.68 (0.54),0.23 (0.0),1088,7.28 (2.34),43.04 (20.84),0.87 (0.29),0.67 (0.03),
4,5,459,2.14 (0.67),0.34 (0.0),459,6.25 (1.95),41.59 (17.7),0.84 (0.29),0.67 (0.04),
5,6,182,2.92 (0.89),0.51 (0.0),182,5.75 (1.76),40.74 (16.67),0.84 (0.52),0.66 (0.07),
6,7,73,3.9 (1.02),0.75 (0.0),73,5.2 (1.36),51.18 (21.85),0.91 (0.68),0.58 (0.13),
7,8,10,3.74 (0.68),1.11 (0.0),10,3.37 (0.61),71.09 (14.42),0.48 (0.66),0.67 (0.11),
8,9,,,,,,,,,
9,,28638,0.99 (0.56),0.1 (0.07),28638,10.52 (5.5),49.65 (30.04),0.93 (0.4),0.67 (0.04),0
